subject,activity,rows,acc_mean,acc_std,gyro_mean
1,Laying,7,0.2497,0.0206,0.0336
1,Sitting,3,0.9728,0.1138,0.0348
1,Standing,12,0.9938,0.0475,0.0433
1,Walking,4,1.2926,0.4469,0.2629
1,Walking Downstairs,7,1.3511,0.5763,0.3623
1,Walking Upstairs,6,1.273,0.3701,0.3212
2,Laying,9,0.2765,0.0323,0.0287
2,Sitting,7,0.9986,0.0972,0.0436
2,Standing,6,0.9676,0.0564,0.0414
2,Walking,11,1.2043,0.4279,0.3226
2,Walking Downstairs,5,1.3491,0.58,0.3546
2,Walking Upstairs,7,1.414,0.6405,0.3248
3,Laying,7,0.2504,0.0276,0.0335
3,Sitting,4,1.0229,0.0232,0.0616
3,Standing,15,0.9986,0.0321,0.0334
3,Walking,6,0.9716,0.4498,0.2533
3,Walking Downstairs,3,1.4009,0.2706,0.1886
3,Walking Upstairs,4,1.1701,0.5778,0.2891
4,Laying,6,0.2521,0.0259,0.0288
4,Sitting,11,1.0002,0.0381,0.0402
4,Standing,10,0.9861,0.0291,0.0393
4,Walking,9,1.0057,0.4025,0.2643
4,Walking Downstairs,7,1.3408,0.3968,0.3037
4,Walking Upstairs,9,1.4528,0.5021,0.315
5,Laying,5,0.2476,0.0309,0.026
5,Sitting,10,0.9923,0.0673,0.0472
5,Standing,10,0.9788,0.0599,0.0382
5,Walking,12,1.1539,0.3607,0.2816
5,Walking Downstairs,3,1.2122,0.4973,0.3131
5,Walking Upstairs,11,1.4311,0.5245,0.2478
6,Laying,6,0.237,0.0333,0.0289
6,Sitting,5,0.9686,0.03,0.0518
6,Standing,5,1.0116,0.0443,0.0409
6,Walking,4,1.1481,0.4958,0.2524
6,Walking Downstairs,7,1.3573,0.3327,0.228
6,Walking Upstairs,8,1.3686,0.533,0.3219
7,Laying,8,0.2524,0.0332,0.0321
7,Sitting,10,0.9939,0.0536,0.0472
7,Standing,8,1.0021,0.0197,0.0383
7,Walking,6,1.1861,0.3339,0.2489
7,Walking Downstairs,8,1.3589,0.4507,0.3131
7,Walking Upstairs,3,1.4948,0.4071,0.37
8,Laying,7,0.2478,0.0249,0.0357
8,Sitting,4,0.9551,0.0817,0.0479
8,Standing,7,1.0074,0.0345,0.0416
8,Walking,6,1.2085,0.4035,0.2984
8,Walking Downstairs,8,1.3008,0.2885,0.3134
8,Walking Upstairs,5,1.0522,0.2913,0.3446
9,Laying,8,0.2488,0.017,0.0318
9,Sitting,8,1.019,0.056,0.0381
9,Standing,6,1.0244,0.0647,0.0354
9,Walking,6,1.344,0.3343,0.251
9,Walking Downstairs,10,1.0084,0.3385,0.303
9,Walking Upstairs,7,1.2251,0.4777,0.3444
10,Laying,9,0.2479,0.0299,0.0359
10,Sitting,7,1.0174,0.0822,0.0439
10,Standing,3,1.0411,0.0216,0.0408
10,Walking,10,1.1308,0.2901,0.2675
10,Walking Downstairs,14,1.1801,0.4087,0.2506
10,Walking Upstairs,5,1.6767,0.4764,0.3458
11,Laying,6,0.2363,0.0473,0.0336
11,Sitting,8,0.9864,0.021,0.0374
11,Standing,8,0.9893,0.0197,0.0328
11,Walking,4,1.3558,0.2403,0.3688
11,Walking Downstairs,2,1.3511,0.5622,0.2335
11,Walking Upstairs,6,1.566,0.3098,0.2503
12,Laying,6,0.2562,0.0245,0.0314
12,Sitting,6,0.9797,0.062,0.0392
12,Standing,6,1.0062,0.0427,0.0516
12,Walking,9,1.0214,0.3234,0.3308
12,Walking Downstairs,4,1.5204,0.5392,0.3354
12,Walking Upstairs,5,1.3332,0.5017,0.291
13,Laying,11,0.2558,0.0241,0.0236
13,Sitting,11,1.007,0.0599,0.043
13,Standing,6,1.0192,0.0422,0.0422
13,Walking,10,1.1157,0.3345,0.2706
13,Walking Downstairs,8,1.1435,0.3518,0.2642
13,Walking Upstairs,16,1.0544,0.3482,0.3241
14,Laying,9,0.2425,0.0232,0.0278
14,Sitting,7,1.0072,0.0441,0.0539
14,Standing,6,0.992,0.051,0.0413
14,Walking,12,1.1498,0.3468,0.247
14,Walking Downstairs,13,1.2192,0.3701,0.3286
14,Walking Upstairs,6,1.3853,0.459,0.3945
15,Laying,5,0.2789,0.0326,0.0329
15,Sitting,6,1.014,0.0585,0.043
15,Standing,4,1.0353,0.0401,0.0326
15,Walking,6,1.3783,0.352,0.2466
15,Walking Downstairs,5,1.6512,0.4088,0.2545
15,Walking Upstairs,6,1.4794,0.3653,0.3178
16,Laying,8,0.2403,0.0193,0.0297
16,Sitting,5,0.9101,0.0612,0.0451
16,Standing,8,0.9959,0.0598,0.0397
16,Walking,6,1.4901,0.464,0.1887
16,Walking Downstairs,12,1.5235,0.4734,0.2959
16,Walking Upstairs,7,1.4411,0.3663,0.3073
17,Laying,5,0.2741,0.0164,0.0272
17,Sitting,9,1.0185,0.0619,0.0463
17,Standing,5,0.9949,0.0364,0.0443
17,Walking,10,1.2933,0.3776,0.2402
17,Walking Downstairs,10,1.3748,0.473,0.2837
17,Walking Upstairs,6,1.3422,0.4062,0.4172
18,Laying,8,0.2635,0.0149,0.0326
18,Sitting,5,0.9902,0.0981,0.0579
18,Standing,7,1.0115,0.0546,0.0356
18,Walking,8,1.1357,0.287,0.2742
18,Walking Downstairs,5,1.3702,0.3078,0.2949
18,Walking Upstairs,9,1.5369,0.502,0.3061
19,Laying,6,0.2459,0.034,0.0321
19,Sitting,7,1.0381,0.0667,0.0462
19,Standing,6,1.0064,0.0118,0.041
19,Walking,7,1.1788,0.4276,0.253
19,Walking Downstairs,9,1.4219,0.4169,0.3274
19,Walking Upstairs,5,1.4187,0.2422,0.3327
20,Laying,8,0.2538,0.0231,0.0323
20,Sitting,7,0.988,0.0551,0.0447
20,Standing,9,1.0313,0.0447,0.0438
20,Walking,2,1.1475,0.313,0.2778
20,Walking Downstairs,10,1.3455,0.3903,0.3003
20,Walking Upstairs,7,1.4798,0.607,0.3356
21,Laying,11,0.2549,0.0275,0.0275
21,Sitting,8,0.9939,0.0781,0.0352
21,Standing,7,1.0262,0.0267,0.0428
21,Walking,4,1.4556,0.4302,0.3025
21,Walking Downstairs,9,1.2323,0.3391,0.2693
21,Walking Upstairs,7,1.1571,0.4459,0.3231
22,Laying,3,0.2599,0.0321,0.015
22,Sitting,8,1.032,0.0572,0.0401
22,Standing,9,0.9797,0.0522,0.0299
22,Walking,5,1.3121,0.3824,0.2326
22,Walking Downstairs,12,1.3158,0.5118,0.2706
22,Walking Upstairs,8,1.3793,0.3488,0.3615
23,Laying,6,0.2552,0.0363,0.0334
